DVSN_ID,huc8
2162,18070304
2163,18070304
2164,18070304
2165,18070304
2166,18070304
2167,18070304
2168,18070304
2169,18070304
3565,12020003
3644,12020003
3451,18020162
2336,18050001
3581,18050001
3589,18050001
3474,18050001
3497,18050001
3203,18030003
3432,18030003
2176,18070102
2187,18070102
2188,18070102
2201,18070102
2203,18070102
3776,18070102
3770,18070102
2204,18090206
3185,13080001
3595,17090004
3379,04030204
3506,04190000
2308,04090002
3748,04050004
3209,04100013
3187,04100013
3419,05100205
3431,05100205
3468,05100205
3740,17100308
2309,02070008
2310,02070008
3703,02070008
3363,18030009
2175,18040001
2185,18040001
2186,18040001
3603,18040001
2307,04090004
2347,10190003
2348,10190003
2349,10190003
2319,10190004
3357,10190006
3670,10190006
4033,10190006
3405,10190007
3252,10190007
4032,10190007
3269,03030007
3505,03020201
3562,03020201
3352,03020201
2183,18020123
2170,18070305
2171,18070305
3645,01080207
3206,01080207
3220,01100004
3283,01100004
3371,01100004
3480,01100004
3458,01100004
3464,01100004
3475,01100004
3545,01100004
3582,01100004
3602,01100004
3863,01100004
3872,01100004
3406,01100004
3613,01100004
3720,01100004
4086,01060001
3473,11110201
4050,06020001
2295,03050101
2296,03050101
3483,03050101
3525,03050101
4034,03030005
3199,03040208
2303,01070004
3428,01070004
3692,01070004
4075,01070004
3239,01070006
3388,01070006
3401,01070006
3643,01070006
3824,01070006
3604,01070006
3498,01070006
3197,01090004
3378,01090004
3561,01090004
3697,01090004
3204,01090004
3782,01090004
3635,01090004
3700,01090004
3867,01090004
3729,01090004
2302,01080204
2304,01080204
3399,01090003
3400,01090003
3434,01090003
3435,01090003
3433,01090003
3436,01090003
3578,01090003
3292,01090003
3789,01090003
3293,01080206
2301,02050306
3523,02050306
3546,02050306
3300,02050306
3825,02050306
4038,02050306
3356,02070009
3559,02070009
3628,02070009
4055,08090100
3386,08090301
2353,11020001
2354,11020001
3288,11020001
2358,14010003
3504,11090106
3737,11090106
3666,11090105
3500,11110207
3598,05030103
3814,11090203
2182,18090208
3200,11140103
3593,11140103
2352,11020003
3308,11020003
3801,11020003
3654,11020003
3507,11020003
3651,11020003
3660,11020003
3689,11020003
3226,11020003
2313,10190001
2314,10190001
2350,10190001
2351,10190001
3629,10190001
2315,10190002
2317,10190002
2318,10190002
2355,11020002
3223,11020002
3590,11020002
3596,11020002
3742,11020002
3879,11020002
3231,11020002
2305,17110012
3805,17110009
3427,10270102
3696,10200202
3750,03040101
4052,03040101
2197,12010001
4042,05140202
3558,10200203
3261,11100301
3675,11100301
3553,11110104
2198,12010003
3516,12020001
3541,12020004
3540,12020004
3266,12020004
2289,12030101
2290,12030101
2291,12030102
2292,12030102
2192,12030103
2193,12030103
2194,12030103
2195,12030104
2196,12030106
2293,12030107
2294,12030108
2141,12030202
2142,12040101
2143,12040101
2139,12040104
2140,12040104
3514,11070103
3486,11070106
2283,12090205
2284,12090205
3606,13030102
3733,13030102
4037,02050305
3821,02050305
3827,02050305
3177,05010009
2232,02040104
3364,12060102
3445,12060102
3491,12060102
3289,12060102
3407,12060105
3543,12060203
3449,12070201
3630,03150201
4246,13020201
4247,13020201
4248,13020201
4249,13020201
4045,13020203
3771,13020203
4036,02050103
3698,03050104
3537,12080002
3531,12080008
3488,12090106
2159,12100201
2156,12100201
4028,12100202
2158,12100304
3244,03050110
3637,03160109
3796,03160110
3415,03160111
3410,06030002
3834,06030002
2331,03130002
3214,03130002
3534,16050101
3518,18010103
3502,18010110
3529,18010110
3745,18010110
3774,18010110
4053,18010110
2174,18010211
2189,18010211
2172,18020005
3856,03040206
4069,18020111
2177,18020128
2173,18020154
4041,18020154
3728,18020154
4068,18020161
3855,18030007
3625,18040002
2190,18040003
3571,18040003
3760,18040003
3817,18040003
3301,18040003
2184,18040010
3624,18040010
3649,18040011
3759,18040011
2230,02040102
3798,04140201
2334,18050002
2335,18050002
2260,18050003
2261,18050003
2262,18050003
2263,18050003
2265,18050003
2266,18050003
2268,18050003
2269,18050003
2270,18050003
2272,18050003
2529,18050003
2250,18050004
2251,18050004
2253,18050004
2256,18050004
2257,18050004
2337,18050004
2338,18050004
2280,18050004
2258,18050006
3655,18050006
4057,18050006
2264,18060002
2267,18060002
2271,18060002
3773,18060008
3241,18060010
3369,18060010
3767,18060013
3768,18060013
3566,18060015
3715,18060015
3763,18060015
3751,18060015
3329,04110002
3526,04110002
3862,04110002
3262,05040001
3312,05130202
3417,05130203
3331,05130203
4049,06010201
2157,12110110
3286,12110111
3462,12110111
3409,13040100
2285,05060001
2286,05060001
2287,05060001
2288,05060001
3470,11070209
3530,11070209
4039,05130205
3370,05120109
3580,05120109
3832,05120108
3257,04130003
3392,04130003
2155,15020008
3242,17110019
3479,17110019
3830,03150110
3743,03180002
3683,03180002
3287,03030003
3663,03030003
3237,03030004
3372,03030004
3439,03030004
3617,03030004
3264,03030004
3882,03040103
3460,03040105
3466,03040105
3472,03040105
3425,03040105
3607,05080002
3377,05090203
3668,05090203
2274,05120201
2275,05120201
2276,05120201
2277,05120201
2278,05120201
2279,05120201
2149,15060103
2150,15060106
2151,15060106
2152,15060106
2330,15060106
2341,07010206
2362,07010206
2363,07010206
3230,16050102
3413,16050102
3324,16050102
3730,16050102
2252,18040009
2254,18040009
2255,18040009
2259,18040009
2281,18040009
2282,18040009
4056,18040009
2205,18090101
2212,18090101
2213,18090101
2214,18090101
2345,03100206
2346,03100206
2560,03100206
4071,03100207
3601,08010210
3420,11010002
3810,11010002
2202,18090102
2206,18090102
2210,18090102
2211,18090102
2215,18090102
2216,18090102
2217,18090102
2218,18090102
2219,18090102
2220,18090102
2221,18090102
2222,18090102
2223,18090102
2224,18090102
2208,18090103
2209,18090103
2225,18090103
2226,18090103
2227,18090103
4043,05140101
3669,05140101
3418,03170008
4031,10180001
2316,10190005
3205,10190005
3238,10190005
3790,10190005
4030,10190005
4044,05090101
4046,13090002
4048,13090002
2356,11020005
2357,11020005
3345,11030013
3281,11030014
2181,18070203
3684,03040207
3521,03150202
3253,03150202
3387,03160112
3509,03160112
3539,03160112
2148,15070102
3222,17100307
3658,17090005
3337,17110008
3816,17110008
3610,03070101
3657,03070101
3421,03070103
3665,03070103
3455,03030002
3484,03030002
3496,03030002
3538,03030002
3524,03030002
3489,03030002
2306,17110010
3344,17030003
3325,02040302
3440,02040302
3295,02040302
3438,02040302
2311,14010002
3380,14010002
3850,14010002
3383,14010004
3744,14010004
3273,07080205
3275,07080205
4035,07080205
3318,07100004
3721,07100006
3722,07100006
4091,02080205
3313,10230001
3623,10230001
4040,10230006
4051,10230006
3224,10170203
3225,10170203
3611,10170203
3807,10170203
3412,07130001
3762,07130001
3532,07130007
3849,17110018
3804,08070202
3305,11140304
3844,11140304
2298,02060003
2299,02060003
2300,02060003
4047,13080002
3348,13090001
3701,12040201
3835,12040201
3202,12050001
3547,04030203
3579,07090002
3234,17050114
3235,17050114
3424,04050003
4073,16020204
4074,16020204
3390,11050002
2153,15060203
2154,15060203
4029,12100302
3738,07090005
3766,07130008
3727,09020104
3448,18070103
3677,18070103
3793,18070103
2207,18070105
2329,18070106
2179,18070202
3391,18070202
3758,18070202
2359,18070204
3620,18070301
2180,18070302
2191,18070302
2344,03100204
2343,03100205
3621,07080101
3355,10290106
3592,10290106
3818,10290106
3365,10290106
3883,10070004
3642,17030002
3808,17010307
3336,02070004
4054,02070004
3747,18020163
4070,18020163
2339,18040012
2340,18040012
3691,18030010
3614,18040006
3536,12100102
3570,01090002
4072,01090002
2312,14010001
2320,14010001
3375,14010001
3785,14010001
3878,14010001
3880,14010001
2321,17080001
2322,17080001
2323,17080001
2146,02040202
3476,03010106
3304,03060106
3777,03060106
3452,03050105
3454,03050105
3638,03050105
3508,03050109
3829,03050109
3490,03060101
3819,03010101
3267,03010101
3809,03010101
3350,03010101
3736,03010101
3735,03010101
3310,03010101
3360,03080102
2273,03080103
3574,03090101
3358,03140105
3342,05050007
3848,06010103
3861,06010103
3216,06010105
3656,06010105
3616,06010105
2361,07140101
3548,08040203
3212,08040207
3229,08040207
3674,08040207
3213,08090302
3211,08040202
3426,10270104
2360,10300200
3622,10240011
3841,15050301
2328,15010015
2327,15010005
3481,15030104
2324,17090012
2325,17090012
2326,17090012
3469,04260000
3512,04280002
3533,04180000
3315,03140101
3575,03090205
2332,03090206
3457,02080208
3520,02080208
3868,02080208
4223,02080208
3487,04240002
3343,04050001
3396,04050001
3812,04050001
3411,04100003
3276,04100003
3653,04100003
2233,02020007
2364,02030103
2365,02030103
2366,02030103
2367,02030103
2368,02030103
2369,02030103
2370,02030103
2371,02030103
2372,02030103
3397,02020004
2234,02030101
2235,02030101
2236,02030101
2237,02030101
2238,02030101
2239,02030101
2240,02030101
2241,02030101
2242,02030101
2243,02030101
2244,02030101
2245,02030101
2247,02030101
2248,02030101
2249,02030101
2231,02020006
3176,02020006
3210,02020006
2228,02020005
3332,01100005
3576,01100005
3585,01100005
3678,01100005
3851,01100005
3865,01100005
3615,01100005
3254,01100005
3633,01100005
3694,01100005
3787,01100005
3874,01100005
3429,01100005
3672,01100005
4081,01100005
4083,01100005
4085,01100005
3459,04300108
3854,02080108
4224,02080108
4225,02080108
4226,02080108
4227,02080108
4228,02080108
2144,02040203
2145,02040203
3513,02040203
3381,02050107
3527,02050107
3823,02050107
2229,02040101
2246,02030102
3316,02040105
4078,01100006
4079,01100006
4080,01100006
4082,01100006
4084,01100006
