"","city","state","city_uid","intake","DVSN_ID","city_state","key_watershed"
"1","Abilene","TX",441,"Clear Fork Brazo River",3289,"Abilene | TX",TRUE
"2","Abilene","TX",441,"Ft. Phantom Hill Reservoir",3364,"Abilene | TX",FALSE
"3","Abilene","TX",441,"Hubbard Creek Reservoir",3407,"Abilene | TX",TRUE
"4","Abilene","TX",441,"Lake Abilene",3445,"Abilene | TX",TRUE
"5","Abilene","TX",441,"Lake Kirby",3491,"Abilene | TX",TRUE
"6","Akron","OH",410,"East Branch Reservoir-OH",3329,"Akron | OH",FALSE
"7","Akron","OH",410,"Lake Rockwell",3526,"Akron | OH",TRUE
"8","Akron","OH",410,"Wendell R LaDue Reservoir",3862,"Akron | OH",FALSE
"9","Albany","NY",404,"Alcove Reservoir",3176,"Albany | NY",TRUE
"10","Albany","NY",404,"Basic Creek Reservoir",3210,"Albany | NY",TRUE
"11","Albuquerque","NM",401,"Rio Grande - Albuquerque",4045,"Albuquerque | NM",TRUE
"12","Albuquerque","NM",401,"Santa Fe Group Aquifer",3771,"Albuquerque | NM",FALSE
"13","Amarillo","TX",442,"Ogallala Aquifer",3666,"Amarillo | TX",TRUE
"14","Anchorage","AK",280,"Anchorage GW",4067,"Anchorage | AK",FALSE
"15","Anchorage","AK",280,"Eklutna Lake",4065,"Anchorage | AK",TRUE
"16","Anchorage","AK",280,"Ship Creek",4066,"Anchorage | AK",TRUE
"17","Ann Arbor","MI",371,"Ann Arbor GW",3187,"Ann Arbor | MI",FALSE
"18","Ann Arbor","MI",371,"Barton Pond",3209,"Ann Arbor | MI",TRUE
"19","Antioch","CA",289,"Contra Loma Reservoir",3301,"Antioch | CA",FALSE
"20","Antioch","CA",289,"Los Vaqueros Reservoir",3571,"Antioch | CA",FALSE
"21","Antioch","CA",289,"Mallard Reservoir",3581,"Antioch | CA",TRUE
"22","Antioch","CA",289,"Martinez Reservoir",3589,"Antioch | CA",TRUE
"23","Antioch","CA",289,"San Joaquin River",3760,"Antioch | CA",TRUE
"24","Appleton","WI",465,"Lake Winnebago",3547,"Appleton | WI",TRUE
"25","Asheville","NC",383,"Bee Tree Reservoir",3216,"Asheville | NC",TRUE
"26","Asheville","NC",383,"Mills River",3616,"Asheville | NC",TRUE
"27","Asheville","NC",383,"North Fork Reservoir",3656,"Asheville | NC",TRUE
"28","Athens","GA",334,"Bear Creek Reservoir- GA",3214,"Athens | GA",TRUE
"29","Athens","GA",334,"Middle Oconee River",3610,"Athens | GA",TRUE
"30","Athens","GA",334,"North Oconee River",3657,"Athens | GA",TRUE
"31","Atlanta","GA",181,"Chattahoochee River",2331,"Atlanta | GA",TRUE
"32","Atlantic City","NJ",399,"Cohansey Aquifer",3295,"Atlantic City | NJ",FALSE
"33","Atlantic City","NJ",399,"Doughty Pond Dam",3325,"Atlantic City | NJ",TRUE
"34","Atlantic City","NJ",399,"Kirkwood Aquifer",3438,"Atlantic City | NJ",FALSE
"35","Atlantic City","NJ",399,"Kuehnle Pond Dam",3440,"Atlantic City | NJ",FALSE
"36","Augusta-Richmond","GA",337,"Cretaceous Aquifer",3304,"Augusta-Richmond | GA",FALSE
"37","Augusta-Richmond","GA",337,"Savannah River",3777,"Augusta-Richmond | GA",TRUE
"38","Aurora","CO",187,"Aurora Reservoir",2348,"Aurora | CO",TRUE
"39","Aurora","CO",187,"Homestake Reservoir",2358,"Aurora | CO",TRUE
"40","Aurora","CO",187,"Jefferson Reservoir",2351,"Aurora | CO",TRUE
"41","Aurora","CO",187,"Lake Henry",2356,"Aurora | CO",FALSE
"42","Aurora","CO",187,"Lake Meredith",2357,"Aurora | CO",TRUE
"43","Aurora","CO",187,"Pueblo Reservoir",2355,"Aurora | CO",TRUE
"44","Aurora","CO",187,"Quincy Reservoir",2349,"Aurora | CO",TRUE
"45","Aurora","CO",187,"Rampart Reservoir",2352,"Aurora | CO",TRUE
"46","Aurora","CO",187,"South Platte River Basin",2347,"Aurora | CO",FALSE
"47","Aurora","CO",187,"Spinney Mountain Reservoir",2350,"Aurora | CO",TRUE
"48","Aurora","CO",187,"Turquoise Lake",2353,"Aurora | CO",FALSE
"49","Aurora","CO",187,"Twin Lakes",2354,"Aurora | CO",FALSE
"50","Austin","TX",167,"Colorado River (TX) - Albert H. Ullrich WTP",2284,"Austin | TX",TRUE
"51","Austin","TX",167,"Colorado River (TX) - Albert R. Davis WTP",2283,"Austin | TX",FALSE
"52","Bakersfield","CA",290,"Bakersfield_GW",3203,"Bakersfield | CA",FALSE
"53","Bakersfield","CA",290,"Kern River",3432,"Bakersfield | CA",TRUE
"54","Baltimore","MD",172,"Conowingo Dam – Susquehanna River",2301,"Baltimore | MD",TRUE
"55","Baltimore","MD",172,"Liberty Reservoir",2299,"Baltimore | MD",TRUE
"56","Baltimore","MD",172,"Loch Raven Reservoir",2298,"Baltimore | MD",TRUE
"57","Baltimore","MD",172,"Prettyboy Reservoir",2300,"Baltimore | MD",FALSE
"58","Barnstable","MA",365,"Sagamore Lens",4072,"Barnstable | MA",TRUE
"59","Baton Rouge","LA",358,"Southern Hills Aquifer",3804,"Baton Rouge | LA",TRUE
"60","Beaumont","TX",443,"Neches River",3644,"Beaumont | TX",TRUE
"61","Berkeley","CA",555,"Briones Reservoir",2335,"Berkeley | CA",TRUE
"62","Berkeley","CA",555,"Camanche Reservoir",2340,"Berkeley | CA",TRUE
"63","Billings","MT",382,"Yellowstone River",3883,"Billings | MT",TRUE
"64","Binghamton","NY",409,"Susquehanna River - Binghampton",4036,"Binghamton | NY",TRUE
"65","Birmingham","AL",281,"Cahaba River",3253,"Birmingham | AL",TRUE
"66","Birmingham","AL",281,"Inland Lake",3415,"Birmingham | AL",TRUE
"67","Birmingham","AL",281,"Lake Purdy",3521,"Birmingham | AL",TRUE
"68","Birmingham","AL",281,"Mulberry Fork",3637,"Birmingham | AL",FALSE
"69","Birmingham","AL",281,"Sipsey Fork",3796,"Birmingham | AL",TRUE
"70","Boise","ID",344,"Boise GW",3234,"Boise | ID",FALSE
"71","Boise","ID",344,"Boise River",3235,"Boise | ID",TRUE
"72","Boston","MA",173,"Quabbin Reservoir",2302,"Boston | MA",TRUE
"73","Boston","MA",173,"Wachusett Reservoir",2303,"Boston | MA",TRUE
"74","Boston","MA",173,"Ware River",2304,"Boston | MA",TRUE
"75","Boulder","CO",312,"Barker Reservoir",3205,"Boulder | CO",TRUE
"76","Boulder","CO",312,"Boulder Reservoir",3238,"Boulder | CO",TRUE
"77","Boulder","CO",312,"Carter Lake",4033,"Boulder | CO",TRUE
"78","Boulder","CO",312,"Lakewood Reservoir",4030,"Boulder | CO",TRUE
"79","Boulder","CO",312,"Silver Lake",3790,"Boulder | CO",FALSE
"80","Bremerton","WA",461,"Bremerton GW",3242,"Bremerton | WA",FALSE
"81","Bremerton","WA",461,"Union River Reservoir",3849,"Bremerton | WA",TRUE
"82","Bridgeport","CT",512,"Aspetuck Reservoir",4082,"Bridgeport | CT",FALSE
"83","Bridgeport","CT",512,"Easton Reservoir",4079,"Bridgeport | CT",TRUE
"84","Bridgeport","CT",512,"Far Mill Reservoir",4083,"Bridgeport | CT",FALSE
"85","Bridgeport","CT",512,"Hemlocks Reservoir",4080,"Bridgeport | CT",TRUE
"86","Bridgeport","CT",512,"Means Brook Reservoir",4085,"Bridgeport | CT",TRUE
"87","Bridgeport","CT",512,"Saugatuck Reservoir",4078,"Bridgeport | CT",TRUE
"88","Bridgeport","CT",512,"Trap Fall Reservoir",4081,"Bridgeport | CT",TRUE
"89","Bridgeport","CT",512,"West Pequonnock Reservoir",4084,"Bridgeport | CT",TRUE
"90","Brooksville","FL",320,"Floridan Aquifer",4071,"Brooksville | FL",TRUE
"91","Brownsville","TX",444,"Amistad Dam",3185,"Brownsville | TX",FALSE
"92","Brownsville","TX",444,"Falcon Dam",3348,"Brownsville | TX",TRUE
"93","Buffalo","NY",405,"Lake Erie",3469,"Buffalo | NY",TRUE
"94","Burlington","VT",460,"Lake Champlain",3459,"Burlington | VT",TRUE
"95","Canton","OH",411,"Canton Sand and Gravel Aquifer",3262,"Canton | OH",TRUE
"96","Cape Coral","FL",321,"Lower Hawthorne Aquifer",3575,"Cape Coral | FL",TRUE
"97","Cedar Rapids","IA",339,"Cedar River Alluvial Aquifer - Cedar Rapids",3273,"Cedar Rapids | IA",TRUE
"98","Champaign","IL",345,"Glasford Aquifer",3370,"Champaign | IL",TRUE
"99","Champaign","IL",345,"Mahomet Sands Aquifer",3580,"Champaign | IL",TRUE
"100","Charleston","WV",471,"Elk River",3342,"Charleston | WV",TRUE
"101","Charlotte","NC",170,"Lake Norman",2296,"Charlotte | NC",FALSE
"102","Charlotte","NC",170,"Mountain Island Lake",2295,"Charlotte | NC",TRUE
"103","Chattanooga","TN",438,"Tennessee River - Chattanooga",4050,"Chattanooga | TN",TRUE
"104","Chicago","IL",160,"Lake Michigan",3506,"Chicago | IL",TRUE
"105","Cincinnati","OH",413,"Great Miami Aquifer",3377,"Cincinnati | OH",FALSE
"106","Cincinnati","OH",413,"Ohio River - Cincinnati",3668,"Cincinnati | OH",TRUE
"107","Clarksville","TN",439,"Cumberland River - Clarksville",4039,"Clarksville | TN",TRUE
"108","Cleveland","OH",183,"Lake Erie",3469,"Cleveland | OH",TRUE
"109","Colorado Springs","CO",313,"Big Horn Reservoir",3223,"Colorado Springs | CO",TRUE
"110","Colorado Springs","CO",313,"Big Tooth Reservoir",3226,"Colorado Springs | CO",TRUE
"111","Colorado Springs","CO",313,"Boehmer Reservoir",3231,"Colorado Springs | CO",FALSE
"112","Colorado Springs","CO",313,"Clear Creek Reservoir",3288,"Colorado Springs | CO",TRUE
"113","Colorado Springs","CO",313,"Crystal Creek Reservoir-CO",3308,"Colorado Springs | CO",TRUE
"114","Colorado Springs","CO",313,"Grizzly Reservoir",3383,"Colorado Springs | CO",TRUE
"115","Colorado Springs","CO",313,"Lake Moraine",3507,"Colorado Springs | CO",FALSE
"116","Colorado Springs","CO",313,"Mason Reservoir",3590,"Colorado Springs | CO",FALSE
"117","Colorado Springs","CO",313,"McReynolds Reservoir",3596,"Colorado Springs | CO",TRUE
"118","Colorado Springs","CO",313,"Montgomery Reservoir",3629,"Colorado Springs | CO",TRUE
"119","Colorado Springs","CO",313,"Nichols Reservoir",3651,"Colorado Springs | CO",FALSE
"120","Colorado Springs","CO",313,"North Catamount Reservoir",3654,"Colorado Springs | CO",FALSE
"121","Colorado Springs","CO",313,"Northfield Reservoir",3660,"Colorado Springs | CO",FALSE
"122","Colorado Springs","CO",313,"Pikeview Reservoir",3689,"Colorado Springs | CO",TRUE
"123","Colorado Springs","CO",313,"Rosemont Reservoir",3742,"Colorado Springs | CO",TRUE
"124","Colorado Springs","CO",313,"Ruedi Reservoir",3744,"Colorado Springs | CO",TRUE
"125","Colorado Springs","CO",313,"South Catamount Reservoir",3801,"Colorado Springs | CO",FALSE
"126","Colorado Springs","CO",313,"Upper Blue Reservoir",3850,"Colorado Springs | CO",TRUE
"127","Colorado Springs","CO",313,"Wilson Reservoir",3879,"Colorado Springs | CO",TRUE
"128","Columbia","SC",429,"Broad River Diversion Canal",3244,"Columbia | SC",TRUE
"129","Columbia","SC",429,"Lake Murray",3508,"Columbia | SC",FALSE
"130","Columbus","OH",168,"Griggs Reservoir - dammed Scioto R.",2285,"Columbus | OH",TRUE
"131","Columbus","OH",168,"Hoover Reservoir",2287,"Columbus | OH",TRUE
"132","Columbus","OH",168,"O'Shaughnessy Reservoir - dammed Scioto R.",2286,"Columbus | OH",FALSE
"133","Columbus","OH",168,"Scioto River Valley Aquifer",2288,"Columbus | OH",FALSE
"134","Concord","CA",291,"Clifton Forebay",2190,"Concord | CA",FALSE
"135","Concord","CA",291,"Contra Loma Reservoir",3301,"Concord | CA",FALSE
"136","Concord","CA",291,"Lewiston Lake",2189,"Concord | CA",TRUE
"137","Concord","CA",291,"Los Vaqueros Reservoir",3571,"Concord | CA",FALSE
"138","Concord","CA",291,"Mallard Reservoir",3581,"Concord | CA",TRUE
"139","Concord","CA",291,"Martinez Reservoir",3589,"Concord | CA",TRUE
"140","Concord","CA",291,"San Joaquin River",3760,"Concord | CA",TRUE
"141","Concord","NC",384,"Kannapolis Lake",3425,"Concord | NC",TRUE
"142","Concord","NC",384,"Lake Concord",3460,"Concord | NC",TRUE
"143","Concord","NC",384,"Lake Don T. Howell",3466,"Concord | NC",TRUE
"144","Concord","NC",384,"Lake Fisher",3472,"Concord | NC",FALSE
"145","Concord","NC",384,"Lake Norman",2296,"Concord | NC",FALSE
"146","Concord","NC",384,"Mountain Island Lake",2295,"Concord | NC",TRUE
"147","Corpus Christi","TX",445,"Choke Canyon Reservoir",3286,"Corpus Christi | TX",FALSE
"148","Corpus Christi","TX",445,"Lake Corpus Christi",3462,"Corpus Christi | TX",TRUE
"149","Corpus Christi","TX",445,"Lake Texana",3536,"Corpus Christi | TX",TRUE
"150","Dallas","TX",159,"Elm Fork of the Trinity River - Elm Fork WTP",2192,"Dallas | TX",TRUE
"151","Dallas","TX",159,"Fork Lake",2198,"Dallas | TX",TRUE
"152","Dallas","TX",159,"Grapevine Lake",2195,"Dallas | TX",FALSE
"153","Dallas","TX",159,"Lewisville Lake",2194,"Dallas | TX",FALSE
"154","Dallas","TX",159,"Ray Hubbard Lake",2196,"Dallas | TX",TRUE
"155","Dallas","TX",159,"Ray Roberts Lake",2193,"Dallas | TX",FALSE
"156","Dallas","TX",159,"Tawakoni Lake",2197,"Dallas | TX",TRUE
"157","Danbury","CT",319,"East Lake",3332,"Danbury | CT",FALSE
"158","Danbury","CT",319,"Kenosia Wells",3429,"Danbury | CT",FALSE
"159","Danbury","CT",319,"Lower Kohanza Reservoir",3576,"Danbury | CT",TRUE
"160","Danbury","CT",319,"Margerie Reservoir",3585,"Danbury | CT",FALSE
"161","Danbury","CT",319,"Osborne Wells",3672,"Danbury | CT",FALSE
"162","Danbury","CT",319,"Padanaram Reservoir",3678,"Danbury | CT",TRUE
"163","Danbury","CT",319,"Upper Kohanza Reservoir",3851,"Danbury | CT",FALSE
"164","Danbury","CT",319,"West Lake",3865,"Danbury | CT",FALSE
"165","Davenport","LA",342,"Mississippi River - Davenport",3621,"Davenport | LA",TRUE
"166","Dayton","OH",412,"Miami Valley Buried Aquifer",3607,"Dayton | OH",TRUE
"167","Deltona","FL",322,"Floridan Aquifer",3360,"Deltona | FL",TRUE
"168","Denver","CO",176,"Antero Reservoir",2313,"Denver | CO",FALSE
"169","Denver","CO",176,"Bear Creek (to canal)",2318,"Denver | CO",TRUE
"170","Denver","CO",176,"Cheesman Reservoir",2315,"Denver | CO",FALSE
"171","Denver","CO",176,"Dillon Reservoir",2311,"Denver | CO",TRUE
"172","Denver","CO",176,"Eleven Mile Canyon Reservoir",2314,"Denver | CO",FALSE
"173","Denver","CO",176,"Gross Reservoir",2316,"Denver | CO",TRUE
"174","Denver","CO",176,"Ralston Reservoir",2319,"Denver | CO",TRUE
"175","Denver","CO",176,"Strontia Springs Reservoir",2317,"Denver | CO",TRUE
"176","Denver","CO",176,"Tributaries to Fraser River (Moffat Tunnel)",2312,"Denver | CO",TRUE
"177","Denver","CO",176,"Williams Fork River intake",2320,"Denver | CO",TRUE
"178","Des Moines","IA",340,"Des Moines River",3318,"Des Moines | IA",TRUE
"179","Des Moines","IA",340,"Raccoon River",3721,"Des Moines | IA",TRUE
"180","Des Moines","IA",340,"Raccoon River Alluvial Aquifer",3722,"Des Moines | IA",FALSE
"181","Detroit","MI",171,"Lake Huron",3487,"Detroit | MI",FALSE
"182","Detroit","MI",171,"Lake St. Clair - 3 WTP intakes",2308,"Detroit | MI",TRUE
"183","Duluth","MN",378,"Lake Superior",3533,"Duluth | MN",TRUE
"184","Durham","NC",385,"Lake Jordan",3489,"Durham | NC",TRUE
"185","Durham","NC",385,"Lake Michie",3505,"Durham | NC",TRUE
"186","Durham","NC",385,"Little River Reservoir",3562,"Durham | NC",TRUE
"187","El Paso","TX",455,"Hueco Bolson Aquifer",3409,"El Paso | TX",FALSE
"188","El Paso","TX",455,"Mesilla Bolson Aquifer",3606,"El Paso | TX",FALSE
"189","El Paso","TX",455,"Rio Grande River - El Paso",3733,"El Paso | TX",TRUE
"190","Elkhart","IN",352,"Elkhart GW",3343,"Elkhart | IN",TRUE
"191","Erie","PA",421,"Lake Erie",3469,"Erie | PA",TRUE
"192","Eugene","OR",418,"McKenzie River",3595,"Eugene | OR",TRUE
"193","Evansville","IN",351,"Ohio River - Evansville",4042,"Evansville | IN",TRUE
"194","Fairfield","CA",292,"Lake Berryessa",3451,"Fairfield | CA",TRUE
"195","Fargo","ND",394,"Red River",3727,"Fargo | ND",TRUE
"196","Fayetteville","NC",386,"Bonnie Doone Lake",3237,"Fayetteville | NC",FALSE
"197","Fayetteville","NC",386,"Cape Fear River - Fayetteville",3264,"Fayetteville | NC",TRUE
"198","Fayetteville","NC",386,"Glenville Lake",3372,"Fayetteville | NC",TRUE
"199","Fayetteville","NC",386,"Jacobson Reservoir",3419,"Fayetteville | NC",TRUE
"200","Fayetteville","NC",386,"Kornbow Lake",3439,"Fayetteville | NC",FALSE
"201","Fayetteville","NC",386,"Mintz Pond",3617,"Fayetteville | NC",FALSE
"202","Flint","MI",372,"Detroit River",2307,"Flint | MI",TRUE
"203","Fort Collins","CO",314,"Cache La Poudre River",3252,"Fort Collins | CO",TRUE
"204","Fort Collins","CO",314,"Flat Iron Dam",3357,"Fort Collins | CO",TRUE
"205","Fort Collins","CO",314,"Green Mountain Dam",3380,"Fort Collins | CO",TRUE
"206","Fort Collins","CO",314,"Horsetooth Reservoir",3405,"Fort Collins | CO",TRUE
"207","Fort Collins","CO",314,"Joe Wright Reservoir",4032,"Fort Collins | CO",FALSE
"208","Fort Collins","CO",314,"Lake Granby",3375,"Fort Collins | CO",FALSE
"209","Fort Collins","CO",314,"Michigan River",4031,"Fort Collins | CO",TRUE
"210","Fort Collins","CO",314,"Olympus Dam",3670,"Fort Collins | CO",TRUE
"211","Fort Collins","CO",314,"Shadow Mountain Dam",3785,"Fort Collins | CO",FALSE
"212","Fort Collins","CO",314,"Willow Creek Dam",3878,"Fort Collins | CO",FALSE
"213","Fort Collins","CO",314,"Windy Gap Reservoir",3880,"Fort Collins | CO",TRUE
"214","Fort Smith","AR",287,"Lake Fort Smith",3473,"Fort Smith | AR",TRUE
"215","Fort Smith","AR",287,"Lee Creek Reservoir",3553,"Fort Smith | AR",TRUE
"216","Fort Walton Beach","FL",323,"Floridan Aquifer",3360,"Fort Walton Beach | FL",TRUE
"217","Fort Wayne","IN",349,"Cedarville Dam",3276,"Fort Wayne | IN",FALSE
"218","Fort Wayne","IN",349,"Hurshtown Reservoir",3411,"Fort Wayne | IN",FALSE
"219","Fort Wayne","IN",349,"St. Joseph River",3653,"Fort Wayne | IN",TRUE
"220","Fort Worth","TX",169,"Benbrook Lake",2292,"Fort Worth | TX",TRUE
"221","Fort Worth","TX",169,"Cedar Creek Reservoir",2293,"Fort Worth | TX",TRUE
"222","Fort Worth","TX",169,"Eagle Mountain Lake",2290,"Fort Worth | TX",FALSE
"223","Fort Worth","TX",169,"Lake Bridgeport",2289,"Fort Worth | TX",FALSE
"224","Fort Worth","TX",169,"Lake Worth",2291,"Fort Worth | TX",TRUE
"225","Fort Worth","TX",169,"Richland-Chambers Reservoir",2294,"Fort Worth | TX",TRUE
"226","Frederick","MD",369,"Fishing Creek Reservoir",3356,"Frederick | MD",FALSE
"227","Frederick","MD",369,"Linganore Creek Reservoir",3559,"Frederick | MD",TRUE
"228","Frederick","MD",369,"Monocacy River",3628,"Frederick | MD",TRUE
"229","Frederick","MD",369,"Potomac River - Fredrick",3703,"Frederick | MD",TRUE
"230","Fresno","CA",293,"Fresno Sole Source Aquifer",3363,"Fresno | CA",FALSE
"231","Fresno","CA",293,"Millerton Lake",3614,"Fresno | CA",TRUE
"232","Fresno","CA",293,"Pine Flat Lake",3691,"Fresno | CA",TRUE
"233","Gainesville","FL",324,"Floridan Aquifer",3360,"Gainesville | FL",TRUE
"234","Gastonia","NC",387,"Mountain Island Lake",4886,"Gastonia | NC",TRUE
"235","Grand Rapids","MI",373,"Lake Michigan",3506,"Grand Rapids | MI",TRUE
"236","Green Bay","WI",466,"Green Bay GW",3379,"Green Bay | WI",TRUE
